,hid_dim,final_dim,num_layers,num_epochs,lr,test_loss,preds
84,75,30,4,40,1e-06,6.915043589274089,"[80.32750727335612, 79.75590362548829, 80.16170094807943, 80.05437749226888, 79.78381830851237, 79.62076975504557, 80.66771291097005, 80.22901967366536, 80.37002919514974, 80.4445208231608]"
85,75,30,4,40,5e-06,7.575877634684245,"[81.98993504842123, 81.40084711710612, 81.79595362345377, 81.70792287190756, 81.41936060587565, 81.27034200032553, 82.33181279500326, 81.89191411336263, 82.03634414672851, 82.10795618693034]"
86,75,30,4,40,1e-05,,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
87,75,30,4,50,1e-06,7.022011006673178,"[80.02807286580403, 79.43286616007487, 79.92804285685222, 79.71705423990885, 79.50464274088542, 79.28851165771485, 80.42625071207682, 79.86886291503906, 80.04113235473633, 80.1167729695638]"
88,75,30,4,50,5e-06,7.506633682250977,"[81.19398956298828, 80.61051406860352, 81.05433349609375, 80.90305124918619, 80.65339686075846, 80.46088892618815, 81.54606424967447, 81.064146677653, 81.21415278116862, 81.29450174967448]"
89,75,30,4,50,1e-05,,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
90,75,30,5,30,1e-06,7.370458780924477,"[79.46155370076498, 78.88892161051432, 79.27230962117513, 79.18175455729167, 78.89287821451823, 78.74798202514648, 79.77090530395508, 79.34539845784505, 79.4827054341634, 79.5454226175944]"
91,75,30,5,30,5e-06,8.146643753051757,"[79.77629063924154, 79.19905954996744, 79.6593401590983, 79.4805694580078, 79.247886912028, 79.03913447062175, 80.12132390340169, 79.6218630472819, 79.77390975952149, 79.8526824951172]"
92,75,30,5,30,1e-05,8.878430913289387,"[81.66820627848307, 81.07655766805013, 81.56707763671875, 81.35751215616862, 81.13272908528646, 80.8998649597168, 82.01611785888672, 81.48768539428711, 81.64592946370443, 81.7325838724772]"
93,75,30,5,40,1e-06,6.911831766764321,"[80.13032684326171, 79.5483019510905, 80.0173329671224, 79.83609085083008, 79.59441350301107, 79.40001525878907, 80.48985366821289, 79.99976501464843, 80.14422175089518, 80.2221305847168]"
94,75,30,5,40,5e-06,7.448946990966799,"[80.35710576375325, 79.7694709777832, 80.2150639851888, 80.06323877970378, 79.81889139811197, 79.63669815063477, 80.73194758097331, 80.23413289388021, 80.38958791097005, 80.46603927612304]"
95,75,30,5,40,1e-05,13.428161290486655,"[74.16954158991575, 73.63169623265664, 74.091659458975, 73.88878292292357, 73.6925866847237, 73.47487631688516, 74.50094366918007, 74.00971518407265, 74.15609503636757, 74.23373251805702]"
96,75,30,5,50,1e-06,7.325367584228517,"[79.50690256754557, 78.9326416015625, 79.35983759562174, 79.21730066935221, 78.97310791015624, 78.78032455444335, 79.83567962646484, 79.36375096638997, 79.51235961914062, 79.5902826944987]"
97,75,30,5,50,5e-06,6.461898345947267,"[81.43406194051107, 80.85018488566081, 81.33602854410807, 81.13120930989584, 80.9026486714681, 80.67250162760416, 81.77157236735026, 81.26295674641928, 81.41544977823894, 81.50413462320964]"
98,75,30,5,50,1e-05,9.47941535949707,"[78.74032897949219, 78.17747522989909, 78.59738566080729, 78.4585080464681, 78.20483373006185, 78.0218635559082, 79.05466257731119, 78.60463460286458, 78.74430491129557, 78.82062606811523]"
99,75,30,6,30,1e-06,6.448553619384766,"[80.65227355957032, 80.0727434794108, 80.5572903951009, 80.34844309488932, 80.12023366292318, 79.88697687784831, 80.98410568237304, 80.46846237182618, 80.62085520426432, 80.69919204711914]"
100,75,30,6,30,5e-06,7.219915593465169,"[80.15836054484049, 79.57010879516602, 80.08790639241536, 79.84248835245768, 79.64038467407227, 79.3943463643392, 80.52022272745768, 79.96385498046875, 80.12632522583007, 80.21322987874349]"
101,75,30,6,30,1e-05,7.112623189290366,"[81.47244974772136, 80.88567174275717, 81.31707331339518, 81.18604482014975, 80.92534866333008, 80.7505376180013, 81.83493881225586, 81.36367645263672, 81.51294606526693, 81.59092305501302]"
102,75,30,6,40,1e-06,6.992073440551758,"[79.9442148844401, 79.37518997192383, 79.7809824625651, 79.6656593322754, 79.40043767293294, 79.23089065551758, 80.26450856526692, 79.82996622721355, 79.96983846028645, 80.0510643005371]"
103,75,30,6,40,5e-06,6.433248265584308,"[81.03960520426432, 80.45887044270833, 80.90495427449544, 80.74371948242188, 80.49271494547526, 80.29026006062826, 81.36270675659179, 80.8842145284017, 81.03120269775391, 81.1116340637207]"
104,75,30,6,40,1e-05,6.488644536336262,"[82.73520838419596, 82.13766250610351, 82.62334696451823, 82.42959976196289, 82.1980608622233, 81.9745730082194, 83.10293223063151, 82.57844619750976, 82.738134765625, 82.824378712972]"
105,75,30,6,50,1e-06,6.316625467936197,"[80.70342102050782, 80.11423416137696, 80.5874740600586, 80.39299977620443, 80.15320358276367, 79.94086939493815, 81.0463363647461, 80.5216885884603, 80.67867813110351, 80.75667851765951]"
106,75,30,6,50,5e-06,8.440501200358074,"[78.71537857055664, 78.14695765177409, 78.61901677449545, 78.42262395222981, 78.2080093383789, 77.98786900838216, 79.06416727701823, 78.56088790893554, 78.71384862263997, 78.79856135050456]"
107,75,30,6,50,1e-05,9.181953303019206,"[78.93108847240607, 78.35405218700568, 78.82455898225308, 78.63156429231167, 78.40637203156948, 78.1980643838644, 79.28423229157924, 78.77209443350633, 78.92562073965867, 79.00409643749396]"
