,hid_dim,final_dim,num_layers,num_epochs,lr,test_loss,preds
88,50.0,10.0,5.0,40.0,1e-05,7.837115478515625,"[78.85563659667969, 78.30905151367188, 78.75534057617188, 78.56773376464844, 78.34222412109375, 78.10174560546875, 79.10196685791016, 78.65800476074219, 78.79298400878906, 78.89424133300781]"
89,50.0,10.0,5.0,40.0,5e-05,86.14824142456055,"[0.326768159866333, 0.326768159866333, 0.326768159866333, 0.326768159866333, 0.326768159866333, 0.326768159866333, 0.326768159866333, 0.326768159866333, 0.326768159866333, 0.326768159866333]"
90,50.0,10.0,5.0,50.0,5e-07,8.873849487304687,"[77.88582611083984, 77.36572265625, 77.74671936035156, 77.59161376953125, 77.29118347167969, 77.06962585449219, 77.94819641113281, 77.61373901367188, 77.70316314697266, 77.7957992553711]"
91,50.0,10.0,5.0,50.0,1e-06,7.843172454833985,"[78.73357391357422, 78.14527130126953, 78.81114959716797, 78.4364013671875, 78.38813781738281, 78.0506362915039, 79.3487777709961, 78.62120819091797, 78.83990478515625, 78.94329833984375]"
92,50.0,10.0,5.0,50.0,5e-06,86.41157760620118,"[0.06343328952789307, 0.06343328952789307, 0.06343328952789307, 0.06343328952789307, 0.06343328952789307, 0.06343328952789307, 0.06343328952789307, 0.06343328952789307, 0.06343328952789307, 0.06343328952789307]"
93,50.0,10.0,5.0,50.0,1e-05,86.15945281982422,"[0.3155555725097656, 0.3155555725097656, 0.3155555725097656, 0.3155555725097656, 0.3155555725097656, 0.3155555725097656, 0.3155555725097656, 0.3155555725097656, 0.3155555725097656, 0.3155555725097656]"
94,50.0,10.0,5.0,50.0,5e-05,,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
95,50.0,10.0,5.0,60.0,5e-07,5.145703887939453,"[81.86064910888672, 81.40396881103516, 81.44580841064453, 81.76599884033203, 81.24728393554688, 81.3072509765625, 81.94965362548828, 82.05904388427734, 82.0408706665039, 82.0977554321289]"
96,50.0,10.0,5.0,60.0,1e-06,86.62693252563477,"[-0.1519276350736618, -0.1519276350736618, -0.1519276350736618, -0.1519276350736618, -0.1519276350736618, -0.1519276350736618, -0.1519276350736618, -0.1519276350736618, -0.1519276350736618, -0.1519276350736618]"
97,50.0,10.0,5.0,60.0,5e-06,86.44631423950196,"[0.028696270659565926, 0.028696270659565926, 0.028696270659565926, 0.028696270659565926, 0.028696270659565926, 0.028696270659565926, 0.028696270659565926, 0.028696270659565926, 0.028696270659565926, 0.028696270659565926]"
98,50.0,10.0,5.0,60.0,1e-05,86.11500778198243,"[0.35999807715415955, 0.35999807715415955, 0.35999807715415955, 0.35999807715415955, 0.35999807715415955, 0.35999807715415955, 0.35999807715415955, 0.35999807715415955, 0.35999807715415955, 0.35999807715415955]"
99,50.0,10.0,5.0,60.0,5e-05,,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
100,50.0,10.0,6.0,20.0,5e-07,4.531428527832031,"[82.86318969726562, 82.30787658691406, 82.17545318603516, 82.7174301147461, 82.09952545166016, 82.33584594726562, 83.14930725097656, 83.11569213867188, 83.1880111694336, 83.18160247802734]"
101,50.0,10.0,6.0,20.0,1e-06,4.1387184143066404,"[83.50540924072266, 82.83379364013672, 83.35213470458984, 83.18648529052734, 82.89960479736328, 82.7789535522461, 84.128173828125, 83.4542465209961, 83.64533996582031, 83.61316680908203]"
102,50.0,10.0,6.0,20.0,5e-06,10.183306884765624,"[76.5071029663086, 75.94224548339844, 76.33243560791016, 76.21614074707031, 75.93561553955078, 75.79127502441406, 76.80239868164062, 76.35676574707031, 76.49016571044922, 76.5428695678711]"
103,50.0,10.0,6.0,20.0,1e-05,3.384612274169922,"[86.75484466552734, 86.13636779785156, 86.79629516601562, 86.40806579589844, 86.26996612548828, 85.89669799804688, 87.1422348022461, 86.49201965332031, 86.67377471923828, 86.80242919921875]"
104,50.0,10.0,6.0,20.0,5e-05,32.10611343383789,"[54.53034591674805, 54.129234313964844, 54.52897644042969, 54.29631042480469, 54.18403625488281, 53.97062301635742, 54.74958801269531, 54.33525466918945, 54.44807052612305, 54.516510009765625]"
105,50.0,10.0,6.0,30.0,5e-07,6.8466545104980465,"[79.79473876953125, 79.23905181884766, 79.55278015136719, 79.55477142333984, 79.25712585449219, 79.14282989501953, 80.10614013671875, 79.7649917602539, 79.8917007446289, 79.97940826416016]"
106,50.0,10.0,6.0,30.0,1e-06,9.213077545166016,"[77.42388916015625, 76.9384994506836, 77.1290054321289, 77.24401092529297, 76.87218475341797, 76.80806732177734, 77.61951446533203, 77.45471954345703, 77.53382873535156, 77.59558868408203]"
107,50.0,10.0,6.0,30.0,5e-06,3.388433074951172,"[85.52220153808594, 84.89605712890625, 85.6117172241211, 85.14552307128906, 85.01927947998047, 84.60940551757812, 85.8990707397461, 85.1715087890625, 85.36109924316406, 85.46231842041016]"
